sentence,sentiment,topic,split,source,processed_text
nói tiếng anh lưu loát .,positive,lecturer,test,UIT-VSFC,nói tiếng anh lưu_loát
giáo viên rất vui tính .,positive,lecturer,test,UIT-VSFC,giáo_viên vui_tính
cô max có tâm .,positive,lecturer,test,UIT-VSFC,cô max_tâm
"giảng bài thu hút , dí dỏm .",positive,lecturer,test,UIT-VSFC,giảng bài thu_hút dí dỏm
"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",negative,lecturer,test,UIT-VSFC,giáo_viên không giảng_dạy kiến_thức hướng_dẫn thực_hành quá_trình học
thầy dạy nhiệt tình và tâm huyết .,positive,lecturer,test,UIT-VSFC,thầy dạy nhiệt_tình tâm_huyết
tính điểm thi đua các nhóm .,positive,training_program,test,UIT-VSFC,tính điểm thi_đua nhóm
thầy nhiệt tình giảng lại cho học sinh .,positive,lecturer,test,UIT-VSFC,thầy nhiệt_tình giảng học_sinh
có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,negative,lecturer,test,UIT-VSFC,đôi_lúc nói hơi nhanh làm sinh_viên không kịp
"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",positive,lecturer,test,UIT-VSFC,giảng_dạy nhiệt_tình liên_hệ thực_tế khá nhiều tương_tác sinh_viên tương_đối tốt
giảng viên nhiệt tình trong công tác giảng dạy .,positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình công_tác giảng_dạy
"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",positive,lecturer,test,UIT-VSFC,cô nhiệt_tình dễ_thương dạy dễ hiểu
trong trường macbook thầy số hai thì không có máy nào số một .,positive,others,test,UIT-VSFC,trường macbook thầy số hai không máy nào số
sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,training_program,test,UIT-VSFC,sinh_viên không tiếp_thu kịp không hiểu gì
thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,positive,lecturer,test,UIT-VSFC,thầy nhiệt_tình giúp_đỡ sinh_viên quá_trình thực_hành
thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,positive,lecturer,test,UIT-VSFC,thầy tận_tình giúp_đỡ sinh_viên nhiều
giảng viên giải thích kỹ và chi tiết .,positive,lecturer,test,UIT-VSFC,giảng_viên giải_thích kỹ chi_tiết
"thầy dạy rất chi tiết , lý thuyết đầy đủ .",positive,lecturer,test,UIT-VSFC,thầy dạy chi_tiết lý_thuyết đầy_đủ
"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",negative,training_program,test,UIT-VSFC,còn phần tìm bao đóng chứng_minh dạng chuẩn chưa làm rõ
cung cấp kiến thức bổ ích .,positive,lecturer,test,UIT-VSFC,cung_cấp kiến_thức bổ_ích
bắt đầu buổi học đúng giờ .,positive,lecturer,test,UIT-VSFC,bắt_đầu buổi học đúng giờ
"giảng dạy dễ hiểu , tận tâm !",positive,lecturer,test,UIT-VSFC,giảng_dạy dễ hiểu tận_tâm
"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình giải_đáp thắc_mắc đầy_đủ
nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,negative,lecturer,test,UIT-VSFC,đưa vài phương_pháp học lập_trình sinh_viên
giảng viên dạy sôi nổi .,positive,lecturer,test,UIT-VSFC,giảng_viên dạy sôi_nổi
em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,negative,facility,test,UIT-VSFC,học bên chất_lượng cao phòng máy không cung_cấp đủ máy máy hư không cài chương_trình
chưa giỏi chuyên môn cho lắm .,negative,lecturer,test,UIT-VSFC,chưa giỏi chuyên_môn lắm
cách mà cô tiếp cận với sinh viên .,neutral,lecturer,test,UIT-VSFC,cách cô tiếp_cận sinh_viên
"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .",positive,lecturer,test,UIT-VSFC,trợ_giàng nhiệt_tình quan_tâm sát sinh_viên
"giảng viên tận tâm , gần gũi với học sinh .",positive,lecturer,test,UIT-VSFC,giảng_viên tận_tâm gần_gũi học_sinh
thầy dạy rất nhiệt tình và giảng kỹ bài không cần cải thiện gì cả .,positive,lecturer,test,UIT-VSFC,thầy dạy nhiệt_tình giảng kỹ bài không cần cải_thiện gì cả
"phòng học thoáng mát , trang thiết bị đầy đủ .",positive,facility,test,UIT-VSFC,phòng học thoáng mát_trang_thiết đầy_đủ
thầy rất nhiệt tình thân thiện và vui tính cách giảng dạy rất dễ hiểu .,positive,lecturer,test,UIT-VSFC,thầy nhiệt_tình thân_thiện vui tính_cách giảng_dạy dễ hiểu
không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,negative,lecturer,test,UIT-VSFC,không nhiệt_tình dẫn luôn gây khó_khăn sinh_viên
giữa lý thuyết từ vựng với trò chơi để dễ tiếp thu .,negative,training_program,test,UIT-VSFC,giữa lý_thuyết vựng trò_chơi dễ tiếp_thu
môn học này giúp chúng em hiểu ra những vấn đề cơ bản .,neutral,training_program,test,UIT-VSFC,môn_học giúp chúng hiểu vấn_đề cơ_bản
giáo trình chưa có hợp lý .,negative,training_program,test,UIT-VSFC,giáo_trình chưa hợp_lý
mong thầy xem xét lại việc nộp bài !,negative,lecturer,test,UIT-VSFC,mong thầy xem_xét nộp bài
"cô wzjwz234 , dạy rất nhiệt tính , tận tâm tận lực , giải thích từng câu code giúp học sinh hiểu rõ vấn đề , rất thích cô dạy môn hướng đối tượng này .",positive,lecturer,test,UIT-VSFC,cô wzjwz234 dạy nhiệt_tính tận_tâm tận_lực giải_thích từng câu code giúp học_sinh hiểu rõ vấn_đề thích cô dạy môn hướng đối_tượng
cung cấp bài tập đa dạng .,positive,lecturer,test,UIT-VSFC,cung_cấp bài_tập đa_dạng
hay gõ micro vào bảng hoặc bàn .,negative,lecturer,test,UIT-VSFC,gõ micro bảng bàn
ổn .,neutral,others,test,UIT-VSFC,ổn
"tốc độ dạy của giảng viên nhanh , nên có một số nội dung không cung cấp đầy đủ kiến thức .",negative,lecturer,test,UIT-VSFC,tốc_độ dạy giảng_viên nhanh số nội_dung không cung_cấp đầy_đủ kiến_thức
"cô vui tính , học không áp lực .",positive,training_program,test,UIT-VSFC,cô vui_tính học không áp_lực
cô dạy rất tốt và nhiệt tình .,positive,lecturer,test,UIT-VSFC,cô dạy tốt nhiệt_tình
phần lớn chỉ là lý thuyết và bài tập .,positive,training_program,test,UIT-VSFC,phần_lớn lý_thuyết bài_tập
thầy nhiệt tình trả lời thắc mắc của sinh viên .,positive,lecturer,test,UIT-VSFC,thầy nhiệt_tình trả_lời thắc_mắc sinh_viên
thiết bị phòng học như quạt máy cần phải đầu tư thêm .,negative,facility,test,UIT-VSFC,thiết phòng học quạt_máy cần phải đầu_tư thêm
"cô nhiệt tình , giảng bài hiệu quả .",positive,training_program,test,UIT-VSFC,cô nhiệt_tình giảng bài hiệu_quả
"khi nghỉ học , cần thông báo kịp thời trên web của khoa wzjwz148 .",negative,lecturer,test,UIT-VSFC,nghỉ học cần thông_báo kịp_thời web_khoa wzjwz148
không biết được chính xác bao giờ học thật để đi học .,negative,training_program,test,UIT-VSFC,không biết chính_xác bao_giờ học thật đi học
thầy chỉ giao bài tập trên courses .,negative,lecturer,test,UIT-VSFC,thầy giao bài_tập courses
"dạy dễ hiểu , vui tính .",positive,lecturer,test,UIT-VSFC,dạy dễ hiểu vui tính
như vậy tụi em sẽ định hướng tốt hơn và tập trung vào những thứ cần thiết .,neutral,training_program,test,UIT-VSFC,vậy tụi định_hướng tốt hơn tập_trung thứ cần_thiết
"sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .",negative,lecturer,test,UIT-VSFC,sử_dụng thời_gian không hiệu_quả đi quá muộn quá trễ 8 h30 lớp 12 h
"ấn tượng nhất doubledot dạy không cần máy chiếu hay laptop , nhưng lượng bài giảng có thể nói là "" khủng "" , nhìn thầy ghi bài giảng lên bảng mà bất ngờ .",positive,lecturer,test,UIT-VSFC,ấn_tượng nhất doubledot dạy không cần máy_chiếu laptop_lượng bài giảng_thể nói khủng_nhìn thầy ghi bài giảng lên bảng bất_ngờ
"giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .",positive,lecturer,test,UIT-VSFC,giảng_viên dạy nhiệt_tình dễ hiểu vui tính
đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,positive,lecturer,test,UIT-VSFC,đưa nhiều bài_tập khó lời_giải sinh_viên nhà_nghiên_cứu
"thầy dạy chi tiết , giảng giải kỹ .",positive,lecturer,test,UIT-VSFC,thầy dạy chi_tiết giảng_giải kỹ
nhiệt tình tốt giúp sinh viên năng động .,positive,lecturer,test,UIT-VSFC,nhiệt_tình tốt giúp sinh_viên năng_động
giảng viên cho bài tập nhiều đầy đủ .,positive,lecturer,test,UIT-VSFC,giảng_viên bài_tập nhiều đầy_đủ
up các bài giảng đầy đủ .,positive,lecturer,test,UIT-VSFC,up bài giảng đầy_đủ
"thầy hiền , giảng bài tương đối dễ hiểu .",positive,lecturer,test,UIT-VSFC,thầy hiền_giảng bài tương_đối dễ hiểu
rất thực tế không dài dòng .,positive,others,test,UIT-VSFC,thực_tế không dài dòng
"cô dạy hay , em không có ý kiến .",positive,lecturer,test,UIT-VSFC,cô dạy không ý_kiến
nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .,positive,lecturer,test,UIT-VSFC,nhiều câu_chuyện hài_hước thực_tế liên_quan bài_học
"tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .",positive,lecturer,test,UIT-VSFC,tận_tâm sẵn_lòng giúp_đỡ sinh_viên giải_đáp thắc_mắc
"thêm hoạt động của sinh viên , giúp sinh viên chủ động hơn .",negative,training_program,test,UIT-VSFC,thêm hoạt_động sinh_viên giúp sinh_viên chủ_động hơn
"sự nhiệt tình của thầy , thầy rất quan tâm đến sinh viên .",positive,lecturer,test,UIT-VSFC,sự nhiệt_tình thầy thầy quan_tâm sinh_viên
tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .,positive,training_program,test,UIT-VSFC,tính thực_tế cao so thi lý_thuyết lấy điểm
"dạy tâm huyết , hướng dẫn rõ ràng , em rất hài lòng về thầy x .",positive,lecturer,test,UIT-VSFC,dạy tâm_huyết hướng_dẫn rõ_ràng hài_lòng thầy x
"giảng viên đảm bảo thời gian trên lớp , tạo điều kiện trong quá trình thực hành và thi thực hành .",positive,lecturer,test,UIT-VSFC,giảng_viên đảm_bảo thời_gian lớp tạo điều_kiện quá_trình thực_hành thi thực_hành
thầy dạy rất nhiệt tình và phương pháp dạy của thầy rất hay làm em có muốn cũng không dám nghỉ bữa nào trong suốt học kỳ .,positive,lecturer,test,UIT-VSFC,thầy dạy nhiệt_tình phương_pháp dạy thầy làm muốn không dám nghỉ bữa nào suốt học kỳ
"thầy dạy dễ hiểu , tận tâm , nhiệt tình .",positive,lecturer,test,UIT-VSFC,thầy dạy dễ hiểu tận_tâm nhiệt_tình
"thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .",positive,lecturer,test,UIT-VSFC,thầy wzjwz322 vui_tính hài_hước thực_tế cụ_thể hướng_dẫn sinh_viên làm đồ_án
giảng viên cần ân cần giảng lại khi sinh viên có những khúc mắc trong lúc thực hành .,negative,lecturer,test,UIT-VSFC,giảng_viên cần ân_cần giảng sinh_viên khúc_mắc lúc thực_hành
thời lượng kiến thức trong một buổi học quá dài .,negative,training_program,test,UIT-VSFC,thời_lượng kiến_thức buổi học quá dài
"slide thầy chiếu lên màn chiếu doubledot dày đặc chữ , nhìn không rõ ràng .",negative,training_program,test,UIT-VSFC,slide thầy chiếu lên màn chiếu doubledot dày_đặc chữ nhìn không rõ_ràng
"nghỉ nhiều quá , học bù thì khiến giờ giấc không ổn định .",negative,lecturer,test,UIT-VSFC,nghỉ nhiều quá học_bù khiến giờ_giấc không ổn_định
giảng bài xúc tích .,positive,lecturer,test,UIT-VSFC,giảng bài xúc_tích
"cô dạy rất hay , gần gũi với tụi em .",positive,lecturer,test,UIT-VSFC,cô dạy gần_gũi tụi
nếu thầy hướng dẫn cài đặt các thuật toán nữa là tuyệt vời luôn .,positive,lecturer,test,UIT-VSFC,thầy hướng_dẫn cài_đặt thuật_toán nữa tuyệt_vời luôn
có up bài cho sinh viên làm thêm bài tập .,positive,lecturer,test,UIT-VSFC,up bài sinh_viên làm thêm bài_tập
nhiệt tình giúp đỡ giải đáp những thắc mắc của sinh viên .,positive,lecturer,test,UIT-VSFC,nhiệt_tình giúp_đỡ giải_đáp thắc_mắc sinh_viên
em không thích như vậy tí xíu nào .,negative,lecturer,test,UIT-VSFC,không thích vậy tí_xíu nào
"thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .",positive,lecturer,test,UIT-VSFC,thầy dạy đường_lối cứ ngỡ trở_thời cách kể chuyện lịch_sử tuyệt_vời_thể nói tất_cả môn chính_trị nào thầy dạy chắc lên trình chính_trị nhiều lắm ạ
thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .,negative,training_program,test,UIT-VSFC,thời_gian lên làm bài_tập thầy giảng sinh_viên khác chưa làm
nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .,negative,training_program,test,UIT-VSFC,nội_dung môn_học cải_tiến cập_nhật hơn_nữa bắt kịp xu_hướng hiện_nay thế_giới
thầy cho bài tập ít quá .,negative,lecturer,test,UIT-VSFC,thầy bài_tập ít quá
không slide .,negative,lecturer,test,UIT-VSFC,không slide
"năng động , cập nhật kiến thức thêm những kiến thức thực tế và bổ ích .",positive,lecturer,test,UIT-VSFC,năng_động cập_nhật kiến_thức thêm kiến_thức thực_tế bổ_ích
cách dạy đổi mới .,positive,lecturer,test,UIT-VSFC,cách dạy đổi_mới
"đôi khi ít nói , chưa hướng dẫn kỹ bài thực hành .",negative,lecturer,test,UIT-VSFC,đôi ít nói chưa hướng_dẫn kỹ bài thực_hành
thầy nên giảng chậm hơn va cho slide bài giảng .,negative,lecturer,test,UIT-VSFC,thầy giảng chậm hơn va_slide bài giảng
"hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .",negative,facility,test,UIT-VSFC,hiện_nay bước đợt nắng_nóng môt số phòng học doubledot quạt_yếu gây nóng_nực mệt_mỏi sinh_viên giảng_viên
học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .,negative,others,test,UIT-VSFC,học quá ít thi quá nhiều yêu_cầu viết code đề_thi sao sinh_viên_thể làm
"giảng viên nhiệt tình chia sẻ những kiến thức thực tế , các kỹ năng xã hội cần thiết , hữu ích .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình chia_sẻ kiến_thức thực_tế kỹ_năng xã_hội cần_thiết hữu_ích
"nhiều bài tập , sát với chương trình học và thi .",positive,training_program,test,UIT-VSFC,nhiều bài_tập sát chương_trình học thi
"máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .",negative,facility,test,UIT-VSFC,máy_chiếu nhiều lúc chẳng muốn nhìn chất_lượng kém ánh_sáng làm mờ
không thật sự dạy .,negative,lecturer,test,UIT-VSFC,không thật_sự dạy
bài giảng hay và dễ hiểu .,positive,training_program,test,UIT-VSFC,bài giảng dễ hiểu
thầy truyền đạt tốt .,positive,lecturer,test,UIT-VSFC,thầy truyền_đạt tốt
đồ án phần bắt buộc chỉ chiếm 1dot5 điểm và chỉ biết sau khi đã nộp .,negative,lecturer,test,UIT-VSFC,đồ_án phần bắt_buộc chiếm 1 dot5 điểm biết nộp
